insects 	 Abrostola_tripartita 	 curated
insects 	 Acleris_sparsana 	 curated
insects 	 Acronicta_aceris 	 curated
insects 	 Adalia_bipunctata 	 curated
insects 	 Aelia_acuminata 	 curated
insects 	 Agonopterix_subpropinquella 	 curated
insects 	 Agriopis_aurantiaria 	 curated
insects 	 Agrochola_circellaris 	 curated
insects 	 Agrochola_macilenta 	 curated
insects 	 Amphipyra_berbera 	 curated
insects 	 Amphipyra_tragopoginis 	 curated
insects 	 Ancistrocerus_nigricornis 	 curated
insects 	 Andrena_haemorrhoa 	 curated
insects 	 Anoplius_nigerrimus 	 curated
insects 	 Anthocharis_cardamines 	 curated
insects 	 Apamea_monoglypha 	 curated
insects 	 Aphantopus_hyperantus 	 curated
insects 	 Aphantopus_hyperantus 	 curated
insects 	 Aplocera_efformata 	 curated
insects 	 Apoderus_coryli 	 curated
insects 	 Aporia_crataegi 	 curated
insects 	 Apotomis_turbidana 	 curated
insects 	 Aricia_agestis 	 curated
insects 	 Aricia_artaxerxes 	 curated
insects 	 Atethmia_centrago 	 curated
insects 	 Atethmia_centrago 	 curated
insects 	 Athalia_rosae 	 curated
insects 	 Athalia_rosae 	 curated
insects 	 Autographa_gamma 	 curated
insects 	 Autographa_pulchrina 	 curated
insects 	 Bellardia_pandia 	 curated
insects 	 Bembecia_ichneumoniformis 	 curated
insects 	 Bibio_marci 	 curated
insects 	 Biston_betularia 	 curated
insects 	 Blastobasis_adustella 	 curated
insects 	 Blastobasis_lacticolella 	 curated
insects 	 Boloria_selene 	 curated
insects 	 Boloria_selene 	 curated
insects 	 Bombus_campestris 	 curated
insects 	 Bombus_campestris 	 curated
insects 	 Bombus_hortorum 	 curated
insects 	 Bombus_hypnorum 	 curated
insects 	 Bombus_pascuorum 	 curated
insects 	 Bombus_sylvestris 	 curated
insects 	 Bombus_terrestris 	 curated
insects 	 Brachyptera_putata 	 curated
insects 	 Campaea_margaritaria 	 curated
insects 	 Cantharis_rustica 	 curated
insects 	 Carcina_quercana 	 curated
insects 	 Celastrina_argiolus 	 curated
insects 	 Cerceris_rybyensis 	 curated
insects 	 Cheilosia_vulpina 	 curated
insects 	 Chrysoperla_carnea 	 curated
insects 	 Chrysoteuchia_culmella 	 curated
insects 	 Chrysotoxum_bicinctum 	 curated
insects 	 Clostera_curtula 	 curated
insects 	 Clusia_tigrina 	 curated
insects 	 Coccinella_septempunctata 	 curated
insects 	 Colias_croceus 	 curated
insects 	 Coremacera_marginata 	 curated
insects 	 Cosmia_trapezina 	 curated
insects 	 Craniophora_ligustri 	 curated
insects 	 Criorhina_berberina 	 curated
insects 	 Crocallis_elinguaria 	 curated
insects 	 Cyaniris_semiargus 	 curated
insects 	 Cydia_splendana 	 curated
insects 	 Deilephila_porcellus 	 curated
insects 	 Dolichovespula_media 	 curated
insects 	 Dolichovespula_saxonica 	 curated
insects 	 Dolichovespula_sylvestris 	 curated
insects 	 Dolichovespula_sylvestris 	 curated
insects 	 Dryobotodes_eremita 	 curated
insects 	 Ectemnius_continuus 	 curated
insects 	 Ectemnius_lituratus 	 curated
insects 	 Eilema_depressum 	 curated
insects 	 Eilema_sororcula 	 curated
insects 	 Emmelina_monodactyla 	 curated
insects 	 Endotricha_flammealis 	 curated
insects 	 Ennomos_fuscantarius 	 curated
insects 	 Ennomos_quercinarius 	 curated
insects 	 Erannis_defoliaria 	 curated
insects 	 Erebia_ligea 	 curated
insects 	 Eristalis_arbustorum 	 curated
insects 	 Eristalis_pertinax 	 curated
insects 	 Eristalis_tenax 	 curated
insects 	 Eristalis_tenax 	 curated
insects 	 Erynnis_tages 	 curated
insects 	 Eulithis_prunata 	 curated
insects 	 Eupeodes_latifasciatus 	 curated
insects 	 Euplexia_lucipara 	 curated
insects 	 Euproctis_similis 	 curated
insects 	 Eupsilia_transversa 	 curated
insects 	 Fabriciana_adippe 	 curated
insects 	 Furcula_furcula 	 curated
insects 	 Glaucopsyche_alexis 	 curated
insects 	 Griposia_aprilina 	 curated
insects 	 Gymnosoma_rotundatum 	 curated
insects 	 Habrosyne_pyritoides 	 curated
insects 	 Harmonia_axyridis 	 curated
insects 	 Hecatera_dysodea 	 curated
insects 	 Hedya_salicella 	 curated
insects 	 Hedya_salicella 	 curated
insects 	 Hemaris_fuciformis 	 curated
insects 	 Hesperia_comma 	 curated
insects 	 Hydraecia_micacea 	 curated
insects 	 Hydriomena_furcata 	 curated
insects 	 Hylaea_fasciaria 	 curated
insects 	 Hypena_proboscidalis 	 curated
insects 	 Ichneumon_xanthorius 	 curated
insects 	 Idaea_aversata 	 curated
insects 	 Inachis_io 	 curated
insects 	 Inachis_io 	 curated
insects 	 Ischnura_elegans 	 curated
insects 	 Laothoe_populi 	 curated
insects 	 Lasioglossum_lativentre 	 curated
insects 	 Lasioglossum_morio 	 curated
insects 	 Laspeyria_flexula 	 curated
insects 	 Leptidea_sinapis 	 curated
insects 	 Limenitis_camilla 	 curated
insects 	 Limnephilus_lunatus 	 curated
insects 	 Limnephilus_marmoratus 	 curated
insects 	 Lycaena_phlaeas 	 curated
insects 	 Lymantria_monacha 	 curated
insects 	 Lysandra_bellargus 	 curated
insects 	 Lysandra_coridon 	 curated
insects 	 Macropis_europaea 	 curated
insects 	 Malachius_bipustulatus 	 curated
insects 	 Mamestra_brassicae 	 curated
insects 	 Maniola_jurtina 	 curated
insects 	 Melanargia_galathea 	 curated
insects 	 Melanostoma_mellinum 	 curated
insects 	 Melitaea_cinxia 	 curated
insects 	 Mellicta_athalia 	 curated
insects 	 Mesoligia_furuncula 	 curated
insects 	 Mimas_tiliae 	 curated
insects 	 Mimumesa_dahlbomi 	 curated
insects 	 Mythimna_ferrago 	 curated
insects 	 Mythimna_impura 	 curated
insects 	 Nemoura_dubitans 	 curated
insects 	 Nemurella_pictetii 	 curated
insects 	 Noctua_fimbriata 	 curated
insects 	 Noctua_janthe 	 curated
insects 	 Noctua_pronuba 	 curated
insects 	 Nomada_fabriciana 	 curated
insects 	 Notocelia_uddmanniana 	 curated
insects 	 Notodonta_dromedarius 	 curated
insects 	 Notodonta_ziczac 	 curated
insects 	 Nymphalis_polychloros 	 curated
insects 	 Nymphalis_urticae 	 curated
insects 	 Nysson_spinosus 	 curated
insects 	 Ochlodes_sylvanus 	 curated
insects 	 Ochropleura_plecta 	 curated
insects 	 Ocypus_olens 	 curated
insects 	 Omphaloscelis_lunosa 	 curated
insects 	 Orgyia_antiqua 	 curated
insects 	 Osmia_bicornis 	 curated
insects 	 Pammene_fasciana 	 curated
insects 	 Papilio_machaon 	 curated
insects 	 Parapoynx_stratiotata 	 curated
insects 	 Pararge_aegeria 	 curated
insects 	 Peribatodes_rhomboidaria 	 curated
insects 	 Phalera_bucephala 	 curated
insects 	 Phalera_bucephala 	 curated
insects 	 Pheosia_gnoma 	 curated
insects 	 Pheosia_tremula 	 curated
insects 	 Philereme_vetulata 	 curated
insects 	 Phlogophora_meticulosa 	 curated
insects 	 Phlogophora_meticulosa 	 curated
insects 	 Pieris_brassicae 	 curated
insects 	 Pieris_napi 	 curated
insects 	 Pieris_napi 	 curated
insects 	 Pieris_rapae 	 curated
insects 	 Pieris_rapae 	 curated
insects 	 Platycheirus_albimanus 	 curated
insects 	 Plebejus_argus 	 curated
insects 	 Pterostichus_madidus 	 curated
insects 	 Ptilodon_capucinus 	 curated
insects 	 Pyrgus_malvae 	 curated
insects 	 Pyrochroa_serraticornis 	 curated
insects 	 Rhagonycha_fulva 	 curated
insects 	 Sarcophaga_caerulescens 	 curated
insects 	 Scaeva_pyrastri 	 curated
insects 	 Schrankia_costaestrigalis 	 curated
insects 	 Seladonia_tumulorum 	 curated
insects 	 Selenia_dentaria 	 curated
insects 	 Sesia_apiformis 	 curated
insects 	 Sicus_ferrugineus 	 curated
insects 	 Sphecodes_monilicornis 	 curated
insects 	 Spilarctia_lutea 	 curated
insects 	 Spilosoma_lubricipeda 	 curated
insects 	 Synanthedon_vespiformis 	 curated
insects 	 Syritta_pipiens 	 curated
insects 	 Tachina_fera 	 curated
insects 	 Tenthredo_notha 	 curated
insects 	 Thecocarcelia_acutangulata 	 curated
insects 	 Thyatira_batis 	 curated
insects 	 Thyatira_batis 	 curated
insects 	 Thymelicus_sylvestris 	 curated
insects 	 Tinea_semifulvella 	 curated
insects 	 Tinea_trinotella 	 curated
insects 	 Vanessa_atalanta 	 curated
insects 	 Vanessa_atalanta 	 curated
insects 	 Vanessa_cardui 	 curated
insects 	 Vespa_crabro 	 curated
insects 	 Vespa_velutina 	 curated
insects 	 Vespula_germanica 	 curated
insects 	 Vespula_vulgaris 	 curated
insects 	 Volucella_inanis 	 curated
insects 	 Xanthogramma_pedissequum 	 curated
insects 	 Xestia_c-nigrum 	 curated
insects 	 Xestia_xanthographa 	 curated
insects 	 Xestia_xanthographa 	 curated
insects 	 Xylota_sylvarum 	 curated
insects 	 Ypsolopha_scabrella 	 curated
insects 	 Zeuzera_pyrina 	 curated
insects 	 Zygaena_filipendulae 	 curated
insects 	 Zygaena_filipendulae 	 curated
